"T Naive"	"T Memory"	"B Naive"	"B Memory"	"Plasmablasts"	"NK"	"pDCs"	"Neutrophils LD"	"Basophils LD"	"mDCs"	"Monocytes"
"PLAG1"	5.55343221875866	1.84675210964819	1.30967012698623	10.5005744781514	14.1326141022029	0.820643078818664	0.723065667551606	0.038985127458308	0.643442672034558	7.53198617218429	0.898749302175673
"ZNF563"	8.67052875830577	4.73263540337279	1.5523565223849	9.42714600636	9.55882490558229	2.60045359815991	0.399646812704226	0.0956903825686864	0.183947872651252	14.0872917207892	0.882257064925767
"PDK1"	34.2672378853097	17.9634507509764	8.75583770448538	34.0372620535961	757.905952175233	14.1179406541195	0.594562031047118	4.66988537465678	8.98889353011085	73.8762891344628	8.24198983487553
"RNF157"	11.1092314948172	7.09414343565311	0.446836646353542	1.76518542722141	3.35531739984403	2.24240381543855	0.307888541392897	0.360514687964441	0.240806376003918	8.70058415631801	0.717918310283821
"NELL2"	146.979891879504	46.2615350074909	0.415334026337507	0.0753965883659239	0	1.40685994961345	0	0.0395383225768199	0	1.63256278341854	0.0128483083540193
"KRT72"	10.357524028313	2.41884828897613	0	0.10101792138251	0	11.4374375925314	0	0	0	0	0.042784263100128
"CNN3"	5.59427411963739	1.41911699049168	2.7752904949508	5.56504697680523	2.79667040165813	0.153170880178282	0	0.113430372942424	0.0295556181885254	3.21548539054803	0.170652940719533
"MAL"	85.8858595287709	58.2948010977961	0.112460066046192	2.45122713378653	2.69882467729125	0.128473287041089	0.278877166546804	0.0724686740162444	0.0268680595604114	1.74752715309506	0.015477625778198
"RBM11"	7.45792167263001	2.17787396471474	1.46162747820895	8.17296358503409	0	0	0	0.188951921624663	1.08149201405763	0	0
"GSTM3"	8.08467559245191	5.85318653792924	0.481243775112121	3.01232910377569	6.00740272946916	1.49792492455358	0.593562868374058	0.258157209642011	0.323668888482147	9.14298285117358	0.420189308375611
